#chrom	txStart -1MB	txEnd +1MB	name2	strand
5	138795808	140844466	PSD2_microphthalmia	+
14	72136418	74223691	PSEN1_microphthalmia	+
6	169535120	171553307	PSMB1_microphthalmia	-
14	51707178	53728590	PSMC6_microphthalmia	+
3	183299198	185309050	PSMD2_microphthalmia	+
1	43819844	45843253	PTCH2_microphthalmia_coloboma	-
10	86862563	88971930	PTEN_microphthalmia	+
12	5946468	7961316	PTPN6_microphthalmia	+
20	1873420	4039076	PTPRA_microphthalmia	+
12	14322257	16602175	PTPRO_microphthalmia	+
9	1720469	3844095	PUM3_microphthalmia	-
21	43107373	45131181	PWP2_microphthalmia	+
3	48095932	50105130	QARS1_microphthalmia	-
4	16460261	18512206	QDPR_microphthalmia	-
15	64726054	66891989	RAB11A_microphthalmia	+
17	30391675	32538211	RAB11FIP4_microphthalmia	+
4	12361354	14484365	RAB28_microphthalmia	-
17	41124978	43155044	RAB5C_microphthalmia	-
17	81031678	83034204	RAC3_microphthalmia	+
8	115845934	117874776	RAD21_microphthalmia	-
15	39694774	41732340	RAD51_microphthalmia	+
20	56351223	58379211	RAE1_microphthalmia	+
2	119240064	121294710	RALB_microphthalmia	+
12	129872037	131877678	RAN_microphthalmia	+
12	67610855	69671901	RAP1B_microphthalmia	+
9	130576770	132740076	RAPGEF1_microphthalmia	-
12	52210567	54232980	RARG_microphthalmia_coloboma	-
1	31651142	33686211	RBBP4_microphthalmia	+
6	16281361	18293871	RBM24_microphthalmia	+
19	34629030	36637686	RBM42_microphthalmia	+
13	48531946	50585558	RCBTB1_microphthalmia	-
9	3792944	5885917	RCL1_microphthalmia	+
2	59881491	61931612	REL_microphthalmia	+
3	185789880	187807058	RFC4_microphthalmia	-
12	117013588	119033130	RFC5_microphthalmia	+
15	92035271	94089211	RGMA_microphthalmia	-
12	105774621	107889316	RIC8B_microphthalmia	+
X	118870475	120871733	RNF113A_microphthalmia	-
18	60808067	62894247	RNF152_microphthalmia	-
8	41849637	43897290	RNF170_microphthalmia	-
7	4620047	6781696	RNF216_microphthalmia	-
6	87609897	89963618	RNGTT_microphthalmia	-
1	102525691	104555239	RNPC3_microphthalmia	+
9	90563091	92950228	ROR2_microphthalmia	-
8	9606349	11712187	RP1L1_microphthalmia	-
6	34468401	36470785	RPL10A_microphthalmia	+
1	22691742	24696835	RPL11_microphthalmia	+
9	126447674	128451406	RPL12_microphthalmia	-
16	88560677	90564542	RPL13_microphthalmia	+
3	39457292	41468587	RPL14_microphthalmia	+
17	38200283	40204840	RPL19_microphthalmia	+
17	27719985	29724359	RPL23A_microphthalmia	+
3	100681091	102686733	RPL24_microphthalmia	-
19	54385932	56403250	RPL28_microphthalmia	+
22	38312882	40320389	RPL3_microphthalmia	-
9	123857880	125861981	RPL35_microphthalmia	-
3	196950190	198956610	RPL35A_microphthalmia	+
19	4674947	6691875	RPL36_microphthalmia	+
X	100390824	102396155	RPL36A_microphthalmia	+
12	111405189	113418838	RPL6_microphthalmia	-
8	72290242	74295789	RPL7_microphthalmia	-
6	41879616	43889925	RPL7L1_microphthalmia	+
4	38452587	40458931	RPL9_microphthalmia	-
15	68452814	70456205	RPLP1_microphthalmia	+
20	36178410	38241619	RPN2_microphthalmia	+
20	37033725	39127780	RPRD1B_microphthalmia	+
19	48496365	50499708	RPS11_microphthalmia	+
6	131814569	133817564	RPS12_microphthalmia	+
5	149442635	151449739	RPS14_microphthalmia	-
19	438358	2440495	RPS15_microphthalmia	+
16	17781295	19790383	RPS15A_microphthalmia	-
6	32272075	34276511	RPS18_microphthalmia	+
19	40860255	42872925	RPS19_microphthalmia	+
8	55067254	57074510	RPS20_microphthalmia	-
14	48570984	50599164	RPS29_microphthalmia	-
11	74399515	76422280	RPS3_microphthalmia	+
4	150099624	152104642	RPS3A_microphthalmia	+
19	57386400	59394806	RPS5_microphthalmia	+
2	2575260	4580920	RPS7_microphthalmia	+
1	43775251	45778779	RPS8_microphthalmia	+
19	53200809	55249003	RPS9_microphthalmia	+
3	38406716	40426255	RPSA_microphthalmia	+
11	3094707	5138932	RRM1_microphthalmia	+
2	9120698	11211725	RRM2_microphthalmia	+
21	42789513	44805293	RRP1_microphthalmia	+
22	41508344	43519796	RRP7A_microphthalmia	-
6	126118671	128199481	RSPO3_microphthalmia	+
2	53972187	56112621	RTN4_microphthalmia	-
6	105570771	107629498	RTN4IP1_microphthalmia	-
19	47993562	50015970	RUVBL2_microphthalmia	+
12	62779833	64809792	RXYLT1_microphthalmia	+
1	108213918	110238182	SARS1_microphthalmia	+
11	64961728	66980137	SART1_microphthalmia	+
12	107522214	109561400	SART3_microphthalmia	-
12	122289109	124364847	SBNO1_microphthalmia	-
19	107637	2174268	SBNO2_microphthalmia	-
4	74940950	76990962	SDAD1_microphthalmia	-
3	9293131	11321112	SEC13_microphthalmia	-
3	127051641	129071705	SEC61A1_microphthalmia	+
11	56741491	58743554	SELENOH_microphthalmia	+
5	115443555	117574823	SEMA6A_microphthalmia	-
9	127683424	129696400	SET_microphthalmia	+
3	8397615	10479240	SETD5_microphthalmia	+
11	63764606	65778786	SF1_microphthalmia	-
2	196388515	198435079	SF3B1_microphthalmia	-
1	148923317	150927803	SF3B4_microphthalmia	-
6	143094884	145095573	SF3B5_microphthalmia	-
1	34176378	36193446	SFPQ_microphthalmia	-
3	19160593	21186206	SGO1_microphthalmia	-
22	49674415	51733212	SHANK3_microphthalmia	+
10	109919367	112017307	SHOC2_microphthalmia	+
6	99385009	101464921	SIM1_microphthalmia	-
19	36907208	39208369	SIPA1L3_microphthalmia	+
5	133148935	135176964	SKP1_microphthalmia	-
4	692731	2712344	SLBP_microphthalmia_coloboma	-
4	145253975	147522372	SLC10A7_microphthalmia	-
5	127083766	129189677	SLC12A2_microphthalmia	+
X	73421493	75533917	SLC16A2_microphthalmia	+
19	48429401	50442360	SLC17A7_microphthalmia	-
22	18175581	20178739	SLC25A1_microphthalmia	-
5	109738136	111765161	SLC25A46_microphthalmia	+
X	118468422	120471396	SLC25A5_microphthalmia	+
3	169996347	172026743	SLC2A2_microphthalmia	-
2	194575977	196737702	SLC39A10_microphthalmia	+
6	32200305	34204439	SLC39A7_microphthalmia	+
2	188560590	190583758	SLC40A1_microphthalmia	-
3	169459548	171586075	SLC7A14_microphthalmia	-
14	21773222	23829820	SLC7A7_microphthalmia	-
18	47919853	49950965	SMAD7_microphthalmia	-
13	35844831	37920765	SMAD9_microphthalmia	-
19	9960932	12079426	SMARCA4_microphthalmia	+
4	142513702	144557486	SMARCA5_microphthalmia	+
2	215412383	217483053	SMARCAL1_microphthalmia	+
12	49085200	51100707	SMARCD1_microphthalmia	+
17	39624962	41648654	SMARCE1_microphthalmia	-
X	52374149	54422728	SMC1A_microphthalmia	-
10	109567684	111606048	SMC3_microphthalmia	+
3	159399274	161434954	SMC4_microphthalmia	+
6	167441151	169673445	SMOC2_anophthalmia	+
2	87067825	89113384	SMYD1_microphthalmia	+
9	135375567	137400176	SNAPC4_microphthalmia	-
17	7173454	9173587	SNORD118_microphthalmia	-
16	-946172	1057669	SNRNP25_microphthalmia	+
6	6590198	8611967	SNRNP48_microphthalmia	+
6	33757505	35773857	SNRPC_microphthalmia	+
12	94858952	96903828	SNRPF_microphthalmia	+
6	84504776	86594156	SNX14_microphthalmia	-
16	10254417	12256204	SOCS1_microphthalmia	-
21	32543038	34577481	SON_microphthalmia	+
X	139502985	141505069	SOX3_microphthalmia	-
2	31063556	33157637	SPAST_microphthalmia	+
15	43554818	45663688	SPG11_microphthalmia	-
15	39844018	41858207	SPINT1_microphthalmia	+
17	75038775	77072517	SRP68_microphthalmia	-
7	99875103	101888664	SRRT_microphthalmia	+
14	68726900	70772005	SRSF5_microphthalmia	+
11	56325986	58335892	SSRP1_microphthalmia	-
18	56352557	58371731	ST8SIA3_microphthalmia	+
17	41313324	43388540	STAT3_microphthalmia	-
1	46250139	48314892	STIL_microphthalmia	-
8	97371228	99942827	STK3_microphthalmia	-
7	134662496	136693418	STMP1_microphthalmia	+
1	107746674	109809523	STXBP3_microphthalmia	+
12	117376555	119418033	SUDS3_microphthalmia	+
3	2700814	5467273	SUMF1_microphthalmia	-
19	38436156	40476670	SUPT5H_microphthalmia	+
17	27662198	29702679	SUPT6H_microphthalmia	+
10	68180234	70209099	SUPV3L1_microphthalmia	+
9	132351758	134356676	SURF1_microphthalmia	-
9	132328776	134336188	SURF6_microphthalmia	-
1	222220819	224364233	SUSD4_microphthalmia	-
6	32419661	34453689	SYNGAP1_microphthalmia	+
21	31628759	33728040	SYNJ1_microphthalmia	-
X	70366222	72532374	TAF1_microphthalmia	+
2	8843443	10934416	TAF1B_microphthalmia	+
8	118730774	120832863	TAF2_microphthalmia	-
5	140259884	142320784	TAF7_microphthalmia	-
6	41050513	43087461	TAF8_microphthalmia	+
X	153411524	155421726	TAFAZZIN_microphthalmia	+
1	46216290	48232225	TAL1_microphthalmia	-
5	32440696	34468091	TARS1_microphthalmia	+
8	123488485	125539458	TATDN1_microphthalmia	-
17	81752042	83945914	TBCD_microphthalmia	+
17	60399843	62409466	TBX2_microphthalmia	+
12	113353911	115408442	TBX5_microphthalmia	-
2	84133392	86310387	TCF7L1_anophthalmia_microphthalmia	+
10	111950247	114167678	TCF7L2_microphthalmia	+
6	158778498	160789703	TCP1_microphthalmia	-
3	45574534	47582457	TDGF1_microphthalmia	+
6	23649979	25666930	TDP2_microphthalmia	-
2	72984910	75108176	TET3_microphthalmia	+
7	114935148	117159896	TFEC_microphthalmia	-
2	87170295	89186636	THNSL2_microphthalmia	+
X	122600561	124733056	THOC2_microphthalmia	-
17	39058290	41093867	THRA_microphthalmia	+
3	23117153	25495756	THRB_microphthalmia	-
15	88575469	90631056	TICRR_microphthalmia	+
10	44972489	47003742	TIMM23_microphthalmia	+
16	29024427	31052978	TLCD3B_microphthalmia	-
9	34696948	36732195	TLN1_coloboma	-
3	45694528	47710886	TMIE_microphthalmia	+
1	44340052	46343973	TOE1_microphthalmia	+
17	39388525	41417896	TOP2A_microphthalmia	-
1	2652516	4736201	TP73_microphthalmia	+
11	68048932	70136316	TPCN2_microphthalmia	+
19	15067021	17103002	TPM4_microphthalmia	+
2	237320441	239400897	TRAF3IP1_microphthalmia	+
17	27744011	29750956	TRAF4_microphthalmia	+
4	182659267	184713594	TRAPPC11_microphthalmia	+
7	99154420	101158723	TRAPPC14_microphthalmia	-
10	16137336	18202054	TRDMT1_microphthalmia	-
1	113392790	115511203	TRIM33_microphthalmia	-
3	2126933	4153435	TRNT1_microphthalmia	+
3	141724034	143807888	TRPC1_microphthalmia	+
15	49552473	51686797	TRPM7_microphthalmia	-
X	53440404	55448032	TSR2_microphthalmia	+
11	42358920	44494933	TTC17_microphthalmia	+
2	31628032	33821051	TTC27_microphthalmia	+
6	79003887	81042527	TTK_microphthalmia	+
2	177525989	179830802	TTN_microphthalmia	-
17	41609641	43615238	TUBG1_microphthalmia	+
13	111485011	113588205	TUBGCP3_microphthalmia	-
7	18020991	20117636	TWIST1_anophthalmia	-
2	237848032	239910534	TWIST2_microphthalmia	+
18	-342347	1673578	TYMS_microphthalmia	+
21	42092956	44107570	U2AF1_microphthalmia	-
16	308880	2327018	UBE2I_microphthalmia	+
6	81892390	84065841	UBE3D_microphthalmia	-
22	18449911	20479202	UFD1_microphthalmia	-
19	3903080	5962154	UHRF1_microphthalmia	+
17	34147817	36189345	UNC45B_microphthalmia	+
7	75510525	77516522	UPK3B_microphthalmia	+
16	56999546	59021618	USB1_microphthalmia	+
22	17150118	19177397	USP18_microphthalmia	+
3	48108046	50120938	USP19_microphthalmia	-
9	128834698	130881828	USP20_microphthalmia	+
1	54066359	56215378	USP24_microphthalmia	-
15	62504511	64594640	USP3_microphthalmia	+
1	76695987	78759852	USP33_microphthalmia	-
2	84602856	86649283	USP39_microphthalmia	+
3	48277144	50340712	USP4_microphthalmia	-
17	8644698	10729687	USP43_microphthalmia	+
6	98432325	100521728	USP45_microphthalmia	-
1	20678298	22783606	USP48_microphthalmia	-
12	5852148	7866632	USP5_microphthalmia	+
4	118212587	120295518	USP53_microphthalmia	+
16	7892097	9975328	USP7_microphthalmia	-
13	29617693	31660770	USPL1_microphthalmia	+
1	37009258	39024820	UTP11_microphthalmia	+
5	72565443	74583380	UTP15_microphthalmia	+
1	208827972	210857565	UTP25_microphthalmia	+
4	69688532	71690551	UTP3_microphthalmia	+
1	159400564	161428670	VANGL2_microphthalmia	+
6	30777518	32795752	VARS1_microphthalmia	-
9	34053928	36072668	VCP_microphthalmia	-
8	65628487	67667231	VCPIP1_microphthalmia	-
6	42770184	44786487	VEGFA_microphthalmia	+
3	9141778	11153667	VHL_microphthalmia	+
11	118067818	120081972	VPS11_microphthalmia	+
8	143423601	145428563	VPS28_microphthalmia	-
15	41158701	43208307	VPS39_microphthalmia	-
4	9068089	11116972	WDR1_microphthalmia	-
10	119851305	121909524	WDR11_microphthalmia	+
2	201874261	204014798	WDR12_microphthalmia	-
2	126701027	128811187	WDR33_microphthalmia	-
2	27894667	29948219	WDR43_microphthalmia	+
6	32279108	34289247	WDR46_microphthalmia	-
5	139664868	141674124	WDR55_microphthalmia	+
2	188441446	190475552	WDR75_microphthalmia	+
3	51254434	53288020	WDR82_microphthalmia	-
3	54465715	56490539	WNT5A_microphthalmia	-
5	137083990	139092365	WNT8A_microphthalmia	+
6	158725585	160756319	WTAP_microphthalmia	+
16	77099400	80212667	WWOX_microphthalmia	+
2	60476032	62538741	XPO1_microphthalmia	-
3	100648889	102677135	ZBTB11_microphthalmia	-
1	14941869	16976132	ZBTB17_microphthalmia	-
14	103800596	105804712	ZBTB42_microphthalmia	+
X	63915802	66034713	ZC4H2_microphthalmia	-
9	36120574	38358149	ZCCHC7_microphthalmia	+
14	66727374	68816590	ZFYVE26_microphthalmia	-
3	146393422	148510293	ZIC1_coloboma	+
5	139698680	141706686	ZMAT2_microphthalmia	+
10	74397830	76401764	ZNF503_microphthalmia_coloboma	-
1	89915298	92022272	ZNF644_microphthalmia	-
8	36695782	38700019	ZNF703_microphthalmia_coloboma	+
1	51842511	53894998	ZYG11A_microphthalmia	+
