#chrom	txStart	txEnd	name2	strand
14	73136418	73223691	PSEN1_microphthalmia	+
6	170535120	170553307	PSMB1_microphthalmia	-
14	52707178	52728590	PSMC6_microphthalmia	+
3	184299198	184309050	PSMD2_microphthalmia	+
1	44819844	44843253	PTCH2_microphthalmia_coloboma	-
10	87862563	87971930	PTEN_microphthalmia	+
12	6946468	6961316	PTPN6_microphthalmia	+
20	2873420	3039076	PTPRA_microphthalmia	+
12	15322257	15602175	PTPRO_microphthalmia	+
9	2720469	2844095	PUM3_microphthalmia	-
21	44107373	44131181	PWP2_microphthalmia	+
3	49095932	49105130	QARS1_microphthalmia	-
4	17460261	17512206	QDPR_microphthalmia	-
15	65726054	65891989	RAB11A_microphthalmia	+
17	31391675	31538211	RAB11FIP4_microphthalmia	+
4	13361354	13484365	RAB28_microphthalmia	-
17	42124978	42155044	RAB5C_microphthalmia	-
17	82031678	82034204	RAC3_microphthalmia	+
8	116845934	116874776	RAD21_microphthalmia	-
15	40694774	40732340	RAD51_microphthalmia	+
20	57351223	57379211	RAE1_microphthalmia	+
2	120240064	120294710	RALB_microphthalmia	+
12	130872037	130877678	RAN_microphthalmia	+
12	68610855	68671901	RAP1B_microphthalmia	+
9	131576770	131740076	RAPGEF1_microphthalmia	-
12	53210567	53232980	RARG_microphthalmia_coloboma	-
1	32651142	32686211	RBBP4_microphthalmia	+
6	17281361	17293871	RBM24_microphthalmia	+
19	35629030	35637686	RBM42_microphthalmia	+
13	49531946	49585558	RCBTB1_microphthalmia	-
9	4792944	4885917	RCL1_microphthalmia	+
2	60881491	60931612	REL_microphthalmia	+
3	186789880	186807058	RFC4_microphthalmia	-
12	118013588	118033130	RFC5_microphthalmia	+
15	93035271	93089211	RGMA_microphthalmia	-
12	106774621	106889316	RIC8B_microphthalmia	+
X	119870475	119871733	RNF113A_microphthalmia	-
18	61808067	61894247	RNF152_microphthalmia	-
8	42849637	42897290	RNF170_microphthalmia	-
7	5620047	5781696	RNF216_microphthalmia	-
6	88609897	88963618	RNGTT_microphthalmia	-
1	103525691	103555239	RNPC3_microphthalmia	+
9	91563091	91950228	ROR2_microphthalmia	-
8	10606349	10712187	RP1L1_microphthalmia	-
6	35468401	35470785	RPL10A_microphthalmia	+
1	23691742	23696835	RPL11_microphthalmia	+
9	127447674	127451406	RPL12_microphthalmia	-
16	89560677	89564542	RPL13_microphthalmia	+
3	40457292	40468587	RPL14_microphthalmia	+
17	39200283	39204840	RPL19_microphthalmia	+
17	28719985	28724359	RPL23A_microphthalmia	+
3	101681091	101686733	RPL24_microphthalmia	-
19	55385932	55403250	RPL28_microphthalmia	+
22	39312882	39320389	RPL3_microphthalmia	-
9	124857880	124861981	RPL35_microphthalmia	-
3	197950190	197956610	RPL35A_microphthalmia	+
19	5674947	5691875	RPL36_microphthalmia	+
X	101390824	101396155	RPL36A_microphthalmia	+
12	112405189	112418838	RPL6_microphthalmia	-
8	73290242	73295789	RPL7_microphthalmia	-
6	42879616	42889925	RPL7L1_microphthalmia	+
4	39452587	39458931	RPL9_microphthalmia	-
15	69452814	69456205	RPLP1_microphthalmia	+
20	37178410	37241619	RPN2_microphthalmia	+
20	38033725	38127780	RPRD1B_microphthalmia	+
19	49496365	49499708	RPS11_microphthalmia	+
6	132814569	132817564	RPS12_microphthalmia	+
5	150442635	150449739	RPS14_microphthalmia	-
19	1438358	1440495	RPS15_microphthalmia	+
16	18781295	18790383	RPS15A_microphthalmia	-
6	33272075	33276511	RPS18_microphthalmia	+
19	41860255	41872925	RPS19_microphthalmia	+
8	56067254	56074510	RPS20_microphthalmia	-
14	49570984	49599164	RPS29_microphthalmia	-
11	75399515	75422280	RPS3_microphthalmia	+
4	151099624	151104642	RPS3A_microphthalmia	+
19	58386400	58394806	RPS5_microphthalmia	+
2	3575260	3580920	RPS7_microphthalmia	+
1	44775251	44778779	RPS8_microphthalmia	+
19	54200809	54249003	RPS9_microphthalmia	+
3	39406716	39426255	RPSA_microphthalmia	+
11	4094707	4138932	RRM1_microphthalmia	+
2	10120698	10211725	RRM2_microphthalmia	+
21	43789513	43805293	RRP1_microphthalmia	+
22	42508344	42519796	RRP7A_microphthalmia	-
6	127118671	127199481	RSPO3_microphthalmia	+
2	54972187	55112621	RTN4_microphthalmia	-
6	106570771	106629498	RTN4IP1_microphthalmia	-
19	48993562	49015970	RUVBL2_microphthalmia	+
12	63779833	63809792	RXYLT1_microphthalmia	+
1	109213918	109238182	SARS1_microphthalmia	+
11	65961728	65980137	SART1_microphthalmia	+
12	108522214	108561400	SART3_microphthalmia	-
12	123289109	123364847	SBNO1_microphthalmia	-
19	1107637	1174268	SBNO2_microphthalmia	-
4	75940950	75990962	SDAD1_microphthalmia	-
3	10293131	10321112	SEC13_microphthalmia	-
3	128051641	128071705	SEC61A1_microphthalmia	+
11	57741491	57743554	SELENOH_microphthalmia	+
5	116443555	116574823	SEMA6A_microphthalmia	-
9	128683424	128696400	SET_microphthalmia	+
3	9397615	9479240	SETD5_microphthalmia	+
11	64764606	64778786	SF1_microphthalmia	-
2	197388515	197435079	SF3B1_microphthalmia	-
1	149923317	149927803	SF3B4_microphthalmia	-
6	144094884	144095573	SF3B5_microphthalmia	-
1	35176378	35193446	SFPQ_microphthalmia	-
3	20160593	20186206	SGO1_microphthalmia	-
22	50674415	50733212	SHANK3_microphthalmia	+
10	110919367	111017307	SHOC2_microphthalmia	+
6	100385009	100464921	SIM1_microphthalmia	-
19	37907208	38208369	SIPA1L3_microphthalmia	+
5	134148935	134176964	SKP1_microphthalmia	-
4	1692731	1712344	SLBP_microphthalmia_coloboma	-
4	146253975	146522372	SLC10A7_microphthalmia	-
5	128083766	128189677	SLC12A2_microphthalmia	+
X	74421493	74533917	SLC16A2_microphthalmia	+
19	49429401	49442360	SLC17A7_microphthalmia	-
22	19175581	19178739	SLC25A1_microphthalmia	-
5	110738136	110765161	SLC25A46_microphthalmia	+
X	119468422	119471396	SLC25A5_microphthalmia	+
3	170996347	171026743	SLC2A2_microphthalmia	-
2	195575977	195737702	SLC39A10_microphthalmia	+
6	33200305	33204439	SLC39A7_microphthalmia	+
2	189560590	189583758	SLC40A1_microphthalmia	-
3	170459548	170586075	SLC7A14_microphthalmia	-
14	22773222	22829820	SLC7A7_microphthalmia	-
18	48919853	48950965	SMAD7_microphthalmia	-
13	36844831	36920765	SMAD9_microphthalmia	-
19	10960932	11079426	SMARCA4_microphthalmia	+
4	143513702	143557486	SMARCA5_microphthalmia	+
2	216412383	216483053	SMARCAL1_microphthalmia	+
12	50085200	50100707	SMARCD1_microphthalmia	+
17	40624962	40648654	SMARCE1_microphthalmia	-
X	53374149	53422728	SMC1A_microphthalmia	-
10	110567684	110606048	SMC3_microphthalmia	+
3	160399274	160434954	SMC4_microphthalmia	+
6	168441151	168673445	SMOC2_anophthalmia	+
2	88067825	88113384	SMYD1_microphthalmia	+
9	136375567	136400176	SNAPC4_microphthalmia	-
17	8173454	8173587	SNORD118_microphthalmia	-
16	53828	57669	SNRNP25_microphthalmia	+
6	7590198	7611967	SNRNP48_microphthalmia	+
6	34757505	34773857	SNRPC_microphthalmia	+
12	95858952	95903828	SNRPF_microphthalmia	+
6	85504776	85594156	SNX14_microphthalmia	-
16	11254417	11256204	SOCS1_microphthalmia	-
21	33543038	33577481	SON_microphthalmia	+
X	140502985	140505069	SOX3_microphthalmia	-
2	32063556	32157637	SPAST_microphthalmia	+
15	44554818	44663688	SPG11_microphthalmia	-
15	40844018	40858207	SPINT1_microphthalmia	+
17	76038775	76072517	SRP68_microphthalmia	-
7	100875103	100888664	SRRT_microphthalmia	+
14	69726900	69772005	SRSF5_microphthalmia	+
11	57325986	57335892	SSRP1_microphthalmia	-
18	57352557	57371731	ST8SIA3_microphthalmia	+
17	42313324	42388540	STAT3_microphthalmia	-
1	47250139	47314892	STIL_microphthalmia	-
8	98371228	98942827	STK3_microphthalmia	-
7	135662496	135693418	STMP1_microphthalmia	+
1	108746674	108809523	STXBP3_microphthalmia	+
12	118376555	118418033	SUDS3_microphthalmia	+
3	3700814	4467273	SUMF1_microphthalmia	-
19	39436156	39476670	SUPT5H_microphthalmia	+
17	28662198	28702679	SUPT6H_microphthalmia	+
10	69180234	69209099	SUPV3L1_microphthalmia	+
9	133351758	133356676	SURF1_microphthalmia	-
9	133328776	133336188	SURF6_microphthalmia	-
1	223220819	223364233	SUSD4_microphthalmia	-
6	33419661	33453689	SYNGAP1_microphthalmia	+
21	32628759	32728040	SYNJ1_microphthalmia	-
X	71366222	71532374	TAF1_microphthalmia	+
2	9843443	9934416	TAF1B_microphthalmia	+
8	119730774	119832863	TAF2_microphthalmia	-
5	141259884	141320784	TAF7_microphthalmia	-
6	42050513	42087461	TAF8_microphthalmia	+
X	154411524	154421726	TAFAZZIN_microphthalmia	+
1	47216290	47232225	TAL1_microphthalmia	-
5	33440696	33468091	TARS1_microphthalmia	+
8	124488485	124539458	TATDN1_microphthalmia	-
17	82752042	82945914	TBCD_microphthalmia	+
17	61399843	61409466	TBX2_microphthalmia	+
12	114353911	114408442	TBX5_microphthalmia	-
2	85133392	85310387	TCF7L1_anophthalmia_microphthalmia	+
10	112950247	113167678	TCF7L2_microphthalmia	+
6	159778498	159789703	TCP1_microphthalmia	-
3	46574534	46582457	TDGF1_microphthalmia	+
6	24649979	24666930	TDP2_microphthalmia	-
2	73984910	74108176	TET3_microphthalmia	+
7	115935148	116159896	TFEC_microphthalmia	-
2	88170295	88186636	THNSL2_microphthalmia	+
X	123600561	123733056	THOC2_microphthalmia	-
17	40058290	40093867	THRA_microphthalmia	+
3	24117153	24495756	THRB_microphthalmia	-
15	89575469	89631056	TICRR_microphthalmia	+
10	45972489	46003742	TIMM23_microphthalmia	+
16	30024427	30052978	TLCD3B_microphthalmia	-
9	35696948	35732195	TLN1_coloboma	-
3	46694528	46710886	TMIE_microphthalmia	+
1	45340052	45343973	TOE1_microphthalmia	+
17	40388525	40417896	TOP2A_microphthalmia	-
1	3652516	3736201	TP73_microphthalmia	+
11	69048932	69136316	TPCN2_microphthalmia	+
19	16067021	16103002	TPM4_microphthalmia	+
2	238320441	238400897	TRAF3IP1_microphthalmia	+
17	28744011	28750956	TRAF4_microphthalmia	+
4	183659267	183713594	TRAPPC11_microphthalmia	+
7	100154420	100158723	TRAPPC14_microphthalmia	-
10	17137336	17202054	TRDMT1_microphthalmia	-
1	114392790	114511203	TRIM33_microphthalmia	-
3	3126933	3153435	TRNT1_microphthalmia	+
3	142724034	142807888	TRPC1_microphthalmia	+
15	50552473	50686797	TRPM7_microphthalmia	-
X	54440404	54448032	TSR2_microphthalmia	+
11	43358920	43494933	TTC17_microphthalmia	+
2	32628032	32821051	TTC27_microphthalmia	+
6	80003887	80042527	TTK_microphthalmia	+
2	178525989	178830802	TTN_microphthalmia	-
17	42609641	42615238	TUBG1_microphthalmia	+
13	112485011	112588205	TUBGCP3_microphthalmia	-
7	19020991	19117636	TWIST1_anophthalmia	-
2	238848032	238910534	TWIST2_microphthalmia	+
18	657653	673578	TYMS_microphthalmia	+
21	43092956	43107570	U2AF1_microphthalmia	-
16	1308880	1327018	UBE2I_microphthalmia	+
6	82892390	83065841	UBE3D_microphthalmia	-
22	19449911	19479202	UFD1_microphthalmia	-
19	4903080	4962154	UHRF1_microphthalmia	+
17	35147817	35189345	UNC45B_microphthalmia	+
7	76510525	76516522	UPK3B_microphthalmia	+
16	57999546	58021618	USB1_microphthalmia	+
22	18150118	18177397	USP18_microphthalmia	+
3	49108046	49120938	USP19_microphthalmia	-
9	129834698	129881828	USP20_microphthalmia	+
1	55066359	55215378	USP24_microphthalmia	-
15	63504511	63594640	USP3_microphthalmia	+
1	77695987	77759852	USP33_microphthalmia	-
2	85602856	85649283	USP39_microphthalmia	+
3	49277144	49340712	USP4_microphthalmia	-
17	9644698	9729687	USP43_microphthalmia	+
6	99432325	99521728	USP45_microphthalmia	-
1	21678298	21783606	USP48_microphthalmia	-
12	6852148	6866632	USP5_microphthalmia	+
4	119212587	119295518	USP53_microphthalmia	+
16	8892097	8975328	USP7_microphthalmia	-
13	30617693	30660770	USPL1_microphthalmia	+
1	38009258	38024820	UTP11_microphthalmia	+
5	73565443	73583380	UTP15_microphthalmia	+
1	209827972	209857565	UTP25_microphthalmia	+
4	70688532	70690551	UTP3_microphthalmia	+
1	160400564	160428670	VANGL2_microphthalmia	+
6	31777518	31795752	VARS1_microphthalmia	-
9	35053928	35072668	VCP_microphthalmia	-
8	66628487	66667231	VCPIP1_microphthalmia	-
6	43770184	43786487	VEGFA_microphthalmia	+
3	10141778	10153667	VHL_microphthalmia	+
11	119067818	119081972	VPS11_microphthalmia	+
8	144423601	144428563	VPS28_microphthalmia	-
15	42158701	42208307	VPS39_microphthalmia	-
4	10068089	10116972	WDR1_microphthalmia	-
10	120851305	120909524	WDR11_microphthalmia	+
2	202874261	203014798	WDR12_microphthalmia	-
2	127701027	127811187	WDR33_microphthalmia	-
2	28894667	28948219	WDR43_microphthalmia	+
6	33279108	33289247	WDR46_microphthalmia	-
5	140664868	140674124	WDR55_microphthalmia	+
2	189441446	189475552	WDR75_microphthalmia	+
3	52254434	52288020	WDR82_microphthalmia	-
3	55465715	55490539	WNT5A_microphthalmia	-
5	138083990	138092365	WNT8A_microphthalmia	+
6	159725585	159756319	WTAP_microphthalmia	+
16	78099400	79212667	WWOX_microphthalmia	+
2	61476032	61538741	XPO1_microphthalmia	-
3	101648889	101677135	ZBTB11_microphthalmia	-
1	15941869	15976132	ZBTB17_microphthalmia	-
14	104800596	104804712	ZBTB42_microphthalmia	+
X	64915802	65034713	ZC4H2_microphthalmia	-
9	37120574	37358149	ZCCHC7_microphthalmia	+
14	67727374	67816590	ZFYVE26_microphthalmia	-
3	147393422	147510293	ZIC1_coloboma	+
5	140698680	140706686	ZMAT2_microphthalmia	+
10	75397830	75401764	ZNF503_microphthalmia_coloboma	-
1	90915298	91022272	ZNF644_microphthalmia	-
8	37695782	37700019	ZNF703_microphthalmia_coloboma	+
1	52842511	52894998	ZYG11A_microphthalmia	+
