Gene name,Gene name2,Gene Synonym 0,Gene Synonym 1,Gene Synonym 2,Gene Synonym 3,Gene Synonym 4,Gene Synonym 5,Gene Synonym 6,Gene Synonym 7,Gene Synonym 8,Gene Synonym 9,Gene Synonym 10,Gene Synonym 11,Gene Synonym 12,Gene Synonym 13,Gene Synonym 14,Gene Synonym 15,Gene Synonym 16,Gene Synonym 17,Gene Synonym 18,Gene Synonym 19,Gene Synonym 20,Gene Synonym 21,Gene Synonym 22,Gene Synonym 23,Gene Synonym 24,Gene Synonym 25,Gene Synonym 26,Gene Synonym 27,Gene Synonym 28,Gene Synonym 29,Gene Synonym 30,Gene Synonym 31
GOLGA8VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLGB1,,GOLIM1,giantin,GCP372,GCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLIM4,,P138,GPP130,GOLPH4,GIMPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLM1,,GP73,GOLPH2,FLJ23608,C9orf155,bA379P1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLM2,,H63,DKFZp459F1927,CASC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLM2P1,,CASC4P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLPH3,,Vps74,MIDAS,GPP34,GOPP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLPH3-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLPH3L,,GPP34R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLT1A,,YMR292W,MGC62027,GOT1,FLJ42654,CGI-141,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLT1B,,YMR292W,GOT1,CGI-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GON4L,,YARP,GON4,GON-4,FLJ20203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GON7,,C14orf142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOPC,,PIST,GOPC1,FIG,dJ94G16.2,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORAB,,SCYL1BP1,NTKL-BP1,GO,FLJ11752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORAB-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORASP1,,P65,GRASP65,GOLPH5,FLJ23443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORASP2,,GRS2,GRASP55,GOLPH6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSR1,,P28,GS28,GOS28,GOS-28,GOLIM2,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSR2,,GS27,Bos1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSR2-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT1,,AST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT1-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT1L1,,MGC33309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT2,,mitAAT,KYAT4,KATIV,KAT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT2P1,,GOT2L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT2P2,,GOT2L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT2P3,,GOT2L3P,GOT2L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT2P5,,GOT2Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT2P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOT2P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP1BA,,GPIbalpha,GP1B,CD42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP1BB,,GPIbbeta,CD42c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP2,,ZAP75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP5,,CD42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP6,,GPVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP6-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP9,,GPIX,CD42a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPA33,,A33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAA1,,hGAA1,GAA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAA1P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAA1P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPALPP1,,LSR7,KIAA1704,bA245H20.2,AD029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAM,,MGC26846,KIAA1560,GPAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPANK1,,GPATCH10,G5,D6S54E,BAT4,ANKRD59,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAT2,,CT123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAT2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAT2P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAT3,,MGC11324,MAG1,LPAAT-theta,HMFN0839,AGPAT9,AGPAT10,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAT4,,TSARG7,LPAAT-zeta,DKFZp586M1819,AGPAT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPAT4-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH1,,GPATC1,FLJ38686,FLJ10206,ECGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH11,,FLJ38348,CENPY,CENP-Y,CCDC75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH11P1,,CCDC75P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH2,,PPP1R30,Pfa1,GPATC2,FLJ10252,CT110,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH2L,,FLJ20689,FLJ10033,C14orf118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH3,,GPATC3,FLJ12455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH4,,GPATC4,FLJ20249,DKFZP434F1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPATCH8,,KIAA0553,GPATC8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPBAR1,,TGR5,MGC40597,M-BAR,GPR131,GPCR19,GPCR,BG37,,,,,,,,,,,,,,,,,,,,,,,,,
GPBP1,,DKFZp761C169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPBP1L1,,SP192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC1,,glypican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC2,,FLJ38962,DKFZp547M109,cerebroglycan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC3,,SGBS1,SGBS,SGB,SDYS,OCI-5,DGSX,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC4,,K-glypican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC5-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC5-AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC5-IT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC6-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC6-AS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPCPD1,,KIAA1434,GDPD6,GDE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPD1L,,KIAA0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPER1,,LyGPR,LERGU2,LERGU,GPR30,GPER,GPCR-Br,FEG-1,DRY12,CMKRL2,CEPR,,,,,,,,,,,,,,,,,,,,,,
GPHA2,,ZSIG51,MGC126572,GPA2,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPHB5,,ZLUT1,GPB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPHN,,KIAA1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPI,,NLK,AMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIHBP1,,LOC338328,GPI-HBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPKOW,,T54,Spp2,Mos2,GPATCH5,GPATC5,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPLD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM6A,,GPM6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM6A-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM6B,,MGC54284,MGC17150,M6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM6BP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM6BP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM6BP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPN1,,XAB1,RPAP4,NTPBP,MBDIN,ATPBD1A,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPN2,,FLJ10349,ATPBD1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPN3,,MGC14560,ATPBD1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPN3P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPNMB,,NMB,HGFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR107,,RP11-88G17,LUSTR1,KIAA1624,FLJ20998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR108,,LUSTR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR119,,hGPCR2,GPCR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR12,,PPP1R84,GPCR21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR132,,G2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR135,,PAFR,HUMNPIIY20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR137,,TM7SF1L1,GPR137A,C11orf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR137B,,TM7SF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR137C,,TM7SF1L2,DKFZp762F0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR139,,PGR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR141,,PGR13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR141BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR142,,PGR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR143,,OA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR143P,,OA1P,GPR143Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR146,,PGR8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR148,,PGR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR149,,R35,PGR10,IEDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR150,,PGR11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR151,,PGR7,GALR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR152,,PGR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR153,,PGR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR155,,PGR22,FLJ31819,DEPDC3,DEP.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR155-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR156,,PGR28,GABABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR157,,FLJ12132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR158,,KIAA1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR158-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR160,,GPCR150,GPCR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR160P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR160P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR161,,RE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR162,,GRCA,A-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR171,,H963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR173,,SREB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR174,,FKSG79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR176,,Gm1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR176-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR179,,GPR158L1,CSNB1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR180,,ITR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR182,,hrhAMR,G10D,AM-R,ADMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR183,,EBI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR199P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR27,,SREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR3,,ACCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR31,,HETER1,12-HETER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR32,,RVDR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR32P1,,GPR32P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR37,,PAELR,hET(B)R-LP,EDNRBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR37L1,,ETBR-LP-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR42,,GPR42P,GPR41L,FFAR3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR45,,PSP24A,PSP24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR50,,Mel1c,H9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR50-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR53P,,PsiGPR53,dJ271M21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR61,,BALGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR63,,PSP24B,PSP24(beta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR65,,TDAG8,hTDAG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR68,,OGR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR75,,WI-31133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR79,,GPR79P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR83,,GPR72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR84,,EX33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR84-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR85,,SREB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR87,,GPR95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR89A,,UNQ192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR89B,,SH120,GPR89C,GPR89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR89P,,C11H1.2-Lp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRACR,,LncGPR107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRASP1,,GASP1,GASP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRASP2,,GASP2,FLJ37327,p60TRP,bHLHb9,ARMCX5-GPRASP2-BHLHB9-LINC00630,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRC5A,,TIG1,RAIG1,RAI3,PEIG-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRC5B,,RAIG-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRC5C,,RAIG-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRC5D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRC5D-AS1,,RP11-392P7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRC6A,,bA86F4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRIN1,,KIAA1893,GRIN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRIN2,,MGC15171,KIAA0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPRIN3,,GRIN3,FLJ42625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS1,,CSN1,COPS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS2P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS2P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPSM1,,DKFZP727I051,AGS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPSM2,,Pins,LGN,DFNB82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPSM3,,NG1,G18.2,G18.1b,G18.1a,G18,C6orf9,AGS4,,,,,,,,,,,,,,,,,,,,,,,,,
GPT,,GPT1,ALT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT2,,ALT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX1P1,,GPXP1,GPXL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX1P2,,GPXP2P,GPXP2,GPXL2,GPXL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX2,,GSHPX-GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX4,,PHGPx,MCSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX6,,GPXP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX7,,NPGPx,GPX6,FLJ14777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPX8,,UNQ847,EPLA847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD1A,,KIAA1533,FLJ90346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD1A-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD1B,,LINC01059,KIAA1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD1C,,DKFZp434C0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD2A,,GRAMD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD2B,,NS3TP2,GRAMD3,FLJ21313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4,,KIAA0767,DIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAMD4P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAP2,,Mona,Grf40,GrbX,GRBLG,GADS,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPLDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASLND,,RNF144A-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRB10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRB14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRB2,,NCKAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRB7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREB1,,KIAA0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREB1L,,KIAA1772,FLJ13687,C18orf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREB1L-DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREM1,,HMPS,gremlin,DRM,DAND2,CRAC1,CKTSF1B1,,,,,,,,,,,,,,,,,,,,,,,,,,
GREM1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREM2,,Prdc,FLJ21195,DAND3,CKTSF1B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREP1,,LINC00514,G029442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL1,,TFCP2L2,MGR,LBP-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,TFCP2L3,FLJ13782,DFNA28,BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL3,,TFCP2L4,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHPR,,PH2,GLXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIA1,,GLURA,GLUR1,GluA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIA2,,GLURB,GLUR2,GluA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIA3,,MRX94,GLURC,GLUR3,GluA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIA4,,GLURD,GLUR4,GluA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRID1,,KIAA1220,GluD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRID1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRID2,,GluR-delta-2,GluD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRID2IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIK1,,GLUR5,GluK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIK1-AS1,,NCRNA00110,GRIK1AS,GRIK1-AS,C21orf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIK2,,MRT6,GLUR6,GluK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIK3,,GLUR7,GluK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIK4,,KA1,GRIK,GluK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIK5,,KA2,GRIK2,GluK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN1,,NMDAR1,GluN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN2A,,NMDAR2A,GluN2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN2B,,NMDAR2B,GluN2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN2C,,NMDAR2C,GluN2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN2D,,NR2D,NMDAR2D,GluN2D,EB11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN3A,,GluN3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN3B,,GluN3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINA,,TMBIM3,NMDARA1,LFG1,HNRGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIP2,,KIAA1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIPAP1,,MPMGp800B12492Q3,KIAA1167,GRASP1,GRASP-1,DKFZp434P0630,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK1,,RK,RHOK,GPRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK2,,BARK1,ADRBK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK3,,BARK2,ADRBK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK4,,GPRK4,GPRK2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK5,,GPRK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRK5-IT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
